antecedents,consequents,lift
frozenset({'RAYE'}),frozenset({'070 Shake'}),476.5
frozenset({'070 Shake'}),frozenset({'RAYE'}),476.5
frozenset({'Arcane'}),frozenset({'League of Legends'}),476.5
frozenset({'League of Legends'}),frozenset({'Arcane'}),476.5
frozenset({'Silk Sonic'}),frozenset({'Anderson .Paak'}),476.5
frozenset({'Anderson .Paak'}),frozenset({'Silk Sonic'}),476.5
frozenset({'Big One'}),frozenset({'FMK'}),476.5
frozenset({'FMK'}),frozenset({'Big One'}),476.5
frozenset({'DJ Luian'}),frozenset({'Mambo Kingz'}),476.5
frozenset({'Mambo Kingz'}),frozenset({'DJ Luian'}),476.5
frozenset({'Shekhar Ravjiani'}),"frozenset({'Vishal-Shekhar', 'Kumaar'})",476.5
"frozenset({'Vishal Dadlani', 'Kumaar'})",frozenset({'Shekhar Ravjiani'}),476.5
frozenset({'Vishal Dadlani'}),"frozenset({'Shekhar Ravjiani', 'Kumaar'})",476.5
frozenset({'Shekhar Ravjiani'}),"frozenset({'Vishal Dadlani', 'Kumaar'})",476.5
frozenset({'Kumaar'}),"frozenset({'Shekhar Ravjiani', 'Vishal-Shekhar'})",476.5
frozenset({'Vishal-Shekhar'}),"frozenset({'Shekhar Ravjiani', 'Kumaar'})",476.5
frozenset({'Kumaar'}),"frozenset({'Vishal Dadlani', 'Vishal-Shekhar'})",476.5
frozenset({'Vishal Dadlani'}),"frozenset({'Vishal-Shekhar', 'Kumaar'})",476.5
frozenset({'Vishal-Shekhar'}),"frozenset({'Vishal Dadlani', 'Kumaar'})",476.5
"frozenset({'Vishal Dadlani', 'Kumaar'})",frozenset({'Vishal-Shekhar'}),476.5
"frozenset({'Vishal-Shekhar', 'Kumaar'})",frozenset({'Vishal Dadlani'}),476.5
"frozenset({'Vishal Dadlani', 'Vishal-Shekhar'})",frozenset({'Kumaar'}),476.5
"frozenset({'Vishal-Shekhar', 'Kumaar'})","frozenset({'Vishal Dadlani', 'Shekhar Ravjiani'})",476.5
"frozenset({'Vishal Dadlani', 'Shekhar Ravjiani'})","frozenset({'Vishal-Shekhar', 'Kumaar'})",476.5
"frozenset({'Vishal Dadlani', 'Kumaar'})","frozenset({'Shekhar Ravjiani', 'Vishal-Shekhar'})",476.5
