,streams (int),speechiness_%,instrumentalness_%,liveness_%,acousticness_%,energy_%,valence_%,danceability_%,bpm,in_spotify_charts,in_spotify_playlists,artist_count,artist(s)_name,mode
0,141381703.0,4,0,8,31,83,89,80,125,147,553,2,"['Latto', 'Jung Kook']",Major
1,133716286.0,4,0,10,7,74,61,71,92,48,1474,1,['Myke Towers'],Major
2,140003974.0,6,0,31,17,53,32,51,138,113,1397,1,['Olivia Rodrigo'],Major
3,800840817.0,15,0,11,11,72,58,55,170,100,7858,1,['Taylor Swift'],Major
4,303236322.0,6,63,11,14,80,23,65,144,50,3133,1,['Bad Bunny'],Minor
5,183706234.0,24,0,8,19,58,66,92,141,91,2186,2,"['Dave', 'Central Cee']",Major
6,725980112.0,3,0,8,48,76,83,67,148,50,3090,2,"['Eslabon Armado', 'Peso Pluma']",Minor
7,58149378.0,4,0,11,37,71,26,67,100,43,714,1,['Quevedo'],Major
8,95217315.0,9,0,28,12,62,22,85,130,83,1096,1,['Gunna'],Minor
9,553634067.0,33,0,8,21,48,56,81,170,44,2953,2,"['Peso Pluma', 'Yng Lvcas']",Minor
10,505671438.0,5,0,27,23,72,56,57,83,40,2876,2,"['Bad Bunny', 'Grupo Frontera']",Minor
11,58255150.0,7,0,15,18,82,52,78,150,55,422,1,['NewJeans'],Minor
12,1316855716.0,7,0,3,6,68,65,71,118,115,12211,1,['Miley Cyrus'],Major
13,387570742.0,3,0,9,83,43,32,51,130,98,3528,1,['David Kushner'],Minor
14,2513188493.0,6,0,31,34,73,66,52,174,130,23575,1,['Harry Styles'],Minor
15,1163093654.0,4,17,16,5,73,43,64,89,77,8109,1,['SZA'],Major
16,496795686.0,3,0,34,43,59,76,78,120,77,2942,1,['Fifty Fifty'],Minor
17,30546883.0,3,0,10,96,9,14,44,78,104,873,1,['Billie Eilish'],Major
18,335222234.0,16,0,12,14,66,67,86,100,40,2610,2,"['Feid', 'Young Miko']",Major
19,363369738.0,4,0,36,0,73,36,63,120,68,596,1,['Jimin'],Major
20,86444842.0,4,0,42,22,74,87,65,140,26,332,3,"['Gabito Ballesteros', 'Junior H', 'Peso Pluma']",Minor
21,52135248.0,3,0,6,6,76,82,69,123,38,516,1,['Taylor Swift'],Major
22,1297026226.0,3,2,11,12,42,44,48,135,110,12859,1,['Arctic Monkeys'],Minor
23,200647221.0,5,0,12,26,67,81,85,133,40,1313,2,"['Bizarrap', 'Peso Pluma']",Minor
24,115364561.0,20,0,36,7,68,83,85,99,87,1945,3,"['The Weeknd', 'Madonna', 'Playboi Carti']",Major
25,78300654.0,9,0,9,9,86,96,79,130,26,250,1,['Fuerza Regida'],Minor
26,899183384.0,4,0,14,43,80,82,80,107,77,7112,2,"['R��ma', 'Selena G']",Major
27,61245289.0,4,0,56,14,71,74,81,122,40,859,2,"['Tainy', 'Bad Bunny']",Minor
28,429829812.0,4,0,15,46,68,52,52,204,19,2420,1,['Morgan Wallen'],Major
29,127408954.0,5,0,33,2,85,78,67,110,101,2988,1,['Dua Lipa'],Minor
30,22581161.0,6,0,11,0,84,35,74,126,78,864,1,['Troye Sivan'],Minor
31,52294266.0,5,0,11,39,87,63,56,168,34,266,2,"['Peso Pluma', 'Grupo Frontera']",Major
32,843957510.0,5,0,8,36,61,17,71,98,88,6036,3,"['The Weeknd', '21 Savage', 'Metro Boomin']",Minor
33,999748277.0,5,0,19,12,63,51,64,97,56,9082,1,['Taylor Swift'],Major
34,618990393.0,28,0,9,67,63,61,72,180,49,4284,2,"['Karol G', 'Shakira']",Minor
35,123122413.0,4,0,11,11,68,63,81,120,31,1150,8,"['Big One', 'Duki', 'Lit Killah', 'Maria Becerra', 'FMK', 'Rusherking', 'Emilia', 'Tiago pzk']",Major
36,188933502.0,3,0,11,37,73,39,61,150,34,672,2,"['Yahritza Y Su Esencia', 'Grupo Frontera']",Major
37,1355959075.0,6,0,13,9,68,57,75,96,53,11434,1,['Taylor Swift'],Major
38,786181836.0,4,0,12,0,79,48,60,95,42,7830,1,['Taylor Swift'],Major
39,176553476.0,6,0,11,27,85,96,79,125,28,584,1,['Fuerza Regida'],Minor
40,354495408.0,6,0,10,23,65,84,56,144,25,692,2,"['Junior H', 'Peso Pluma']",Minor
41,2808096550.0,5,0,7,54,50,91,76,90,78,24094,2,"['Post Malone', 'Swae Lee']",Major
42,1109433169.0,4,0,35,4,97,38,56,128,80,12482,2,"['Bebe Rexha', 'David Guetta']",Minor
43,1047101291.0,10,0,11,37,56,58,56,79,64,13387,2,"['Tyler - The Creator', 'Kali Uchis']",Major
44,65156199.0,25,0,23,52,58,75,77,144,80,1117,3,"['Nicki Minaj', 'Aqua', 'Ice Spice']",Major
45,570515054.0,3,0,10,10,64,49,67,122,19,3372,1,['Miley Cyrus'],Major
46,1085685420.0,5,0,6,11,81,82,71,140,76,8431,1,['OneRepublic'],Major
47,1647990401.0,7,0,15,9,52,51,59,134,59,2483,1,['The Weeknd'],Minor
48,2565529693.0,28,0,13,16,59,49,68,186,79,29536,2,"['The Weeknd', 'Daft Punk']",Major
49,518745108.0,7,0,44,23,53,50,53,67,47,3408,2,"['Ariana Grande', 'The Weeknd']",Minor
50,107753850.0,5,0,10,7,64,17,72,106,38,1298,3,"['Feid', 'Myke Towers', 'Sky Rompiendo']",Minor
51,177740666.0,3,0,12,0,91,23,60,128,66,4277,3,"['David Guetta', 'Anne-Marie', 'Coi Leray']",Major
52,153372011.0,7,0,15,18,70,55,92,107,39,1133,1,['Karol G'],Minor
53,57876440.0,4,19,8,12,88,96,67,130,59,2259,1,['Peggy Gou'],Minor
54,1813673666.0,4,0,9,70,54,13,45,123,83,18371,1,['Tom Odell'],Minor
55,3703895074.0,7,0,9,0,80,38,50,171,69,43899,1,['The Weeknd'],Major
56,256483385.0,5,0,17,51,72,88,64,137,42,2649,1,['Kali Uchis'],Minor
57,1214083358.0,4,0,22,58,68,85,84,125,45,6804,1,['Manuel Turizo'],Minor
58,16011326.0,19,0,9,59,72,42,86,128,41,525,1,['Karol G'],Minor
59,812019557.0,4,0,27,55,58,53,61,130,29,7923,1,['Taylor Swift'],Minor
60,111947664.0,5,1,9,50,96,59,86,130,15,731,2,"['dennis', 'MC Kevin o Chris']",Major
61,156338624.0,5,0,25,25,81,86,70,133,41,5184,2,"['PinkPantheress', 'Ice Spice']",Major
62,720434240.0,3,0,9,62,59,72,88,101,39,3107,3,"['Charlie Puth', 'BTS', 'Jung Kook']",Major
63,357925728.0,14,0,17,74,64,53,77,95,50,4053,2,"['Rauw Alejandro', 'ROSAL�']",Minor
64,674072710.0,29,0,10,0,59,40,90,98,38,4637,2,"['Ozuna', 'Feid']",Minor
65,1755214421.0,3,0,23,0,66,28,43,173,43,31358,1,['Chris Molitor'],Major
66,404562836.0,7,0,48,7,62,10,64,90,23,3818,1,['Taylor Swift'],Major
67,373199958.0,7,0,10,55,42,71,59,198,56,3506,1,['Libianca'],Minor
68,14780425.0,4,0,35,0,73,48,56,140,36,410,1,['Post Malone'],Major
